C8b-53351357
A1a-51221192
A2a-51223191
A3a-51223192
A4a-51209303
A5a-51218213
A5b-51219202
A6a-51224192
A7a-51226176
A7b-51220199
A8a-51209304
A8b-51218211
A9a-51221200
A9b-52154248
A10a-52162167
A10b-52160190
A11a-52158225
A12a-52163168
A12b-52152240
A13a-52161191
A13b-52156254
A14a-52156255
A14b-52165131
A15a-52154246
A15b-52150255
A16a-52636631
A16b-52606705
A17a-52610648
A17b-52614621
A18a-52637641
A18b-52636637
A19a-52637642
A20a-52615613
A20b-52614623
A21a-52615614
A21b-52608630
B1a-52602751
B8a-53026085
B1b-52950922
B2a-52951913
B7b-53022165
B2b-52938976
B3a-52948963
B3b-52937964
B4a-52938977
B4b-52952902
B5a-52950924
B5b-52937965
B6a-52950926
B6b-52947973
B7a-52933990
B8b-53055023
C1a-53026086
C2a-53022169
C3a-53027096
C3b-53040058
C4a-53030124
C5a-53031102
C5b-53020185
C6a-53032111
C7a-53026089
D4a-53730763
C8a-53350349
C9b-53352353
C9a-53354323
C10a-53349362
C11a-53341427
C11b-53346367
C12a-53341428
C13a-53340408
D1a-53337460
D2a-53349361
D4b-53742715
D3a-53356303
D17a-54987952
D5a-53743706
D5b-53735769
D6a-53734750
D6b-53734751
D7a-53732768
D7b-53736742
D8a-53727808
D8b-53742725
D9b-53739729
D10b-54831928
D11a-54840887
D10a-53733773
D11b-54845855
D12a-54846877
D12b-54840890
D13a-54846880
D13b-54841873
D14a-54847820
D15a-54850813
D15b-54849821
D16a-54849823
D16b-54840892
D17b-54995946
D18a-54983995
D18b-54992943
E1a-54986957
E1b-54987958
E2a-54973013
E2b-54984971
E3a-54996943
E3b-54984008
E4a-54973016
E4b-54984969
E5a-55438501
E5b-55433513
E6a-55430525
E6b-55435509
E7a-55438504
E7b-55429514
E10b-55430522
E8a-55438500
E8b-55446417
E9a-55444451
E9b-55445412
E10a-55435507
